SINONIMIA,MEDICAMENTO
LISIANTHUS SEMPERVIRENS                           ,GELSEMIUM SEMPERVIRENS
LISYNE L                                          ,LISINA L
LITHANTHRAKOKALI SIMPLEX                          ,ANTHRAKOKALI
LITHI BENZOAS                                     ,LITHIUM BENZOICUM
LITHIAE CARBONAS                                  ,LITHIUM CARBONICUM
LITHII BROMIDUM                                   ,LITHIUM BROMATUM
LITHII CARBONAS                                   ,LITHIUM CARBONICUM
LITHII SALICYLAS                                  ,LITHIUM SALICYLICUM
LITHIUM BENZ                                      ,LITHIUM BENZOICUM
LITHIUM BROM                                      ,LITHIUM BROMATUM
LITHIUM CARB                                      ,LITHIUM CARBONICUM
LITHIUM CHLORATUM                                 ,LITHIUM MURIATICUM
LITHIUM CHLORIDE                                  ,LITHIUM MURIATICUM
LITHIUM MET                                       ,LITHIUM METALLICUM
LITHIUM MUR                                       ,LITHIUM MURIATICUM
LITHIUM PHOSPH                                    ,LITHIUM PHOSPHORICUM
LITHIUM SALIC                                     ,LITHIUM SALICYLICUM
LITHIUM SULPH                                     ,LITHIUM SULPHURICUM
LITHOSPERMUM VIRGINIANUM                          ,ONOSMODIUM VIRGINICUM
LITHOSPERMUM VIRGINICUM                           ,ONOSMODIUM VIRGINICUM
LITHRUM PETIOLATUM                                ,CUPHEA VISCOSISSIMA
LOBARIA ISLANDICA                                 ,CETRARIA ISLANDICA
LOBARIA PULMONARIA                                ,STICTA PULMONARIA
LOBELIA                                           ,LOBELIA INFLATA
LOBELIA CARD                                      ,LOBELIA CARDINALIS
LOBELIA COCCINEA                                  ,LOBELIA CARDINALIS
LOBELIA GLANDULOSA                                ,LOBELIA COERULEA
LOBELIA REFLEXA                                   ,LOBELIA COERULEA
LOBO FRONTAL                                      ,LOBO FRONTAL (CARNEIRO)
LOBO HIPOFISE ANTERIOR                            ,LOBO ANTERIOR HIPOFISE
LOBO LIMBICO                                      ,LOBO TEMPORAL
LOBO PARIETAL                                     ,LOBO PARIETAL (CARNEIRO)
LOBO POST HIPOFISE                                ,LOBO POSTERIOR HIPOFISE
LOENDRO                                           ,OLEANDER
LOGANIA                                           ,NUX VOMICA
LOLIUM                                            ,LOLIUM TEMULENTUM
LOLIUM TEM                                        ,LOLIUM TEMULENTUM
LONICERA DUMENTOSUM                               ,LONICERA XYLOSTEUM
LONICERA OCHROLEUCA                               ,LONICERA XYLOSTEUM
LONICERA RACEMOSA                                 ,SYMPHORICARPUS RACEMOSUS
LONICERA RUBRA                                    ,LONICERA XYLOSTEUM
LOPHOPHORA WILLIANSII                             ,ANHALONIUM LEWINII
LOSNA                                             ,ABSINTHIUM
LOTUS                                             ,LUTEA NELUMBO
LUCANIDA                                          ,LUCANUS CERVUS
LUESINUM                                          ,SYPHILINUM
LUETICUM                                          ,SYPHILINUM
LUFFA OPERC                                       ,LUFFA OPERCULATA
LUFFA PURGANS                                     ,LUFFA OPERCULATA
LUPULO (H)                                        ,HUMULUS LUPULUS
LUPULUS (H)                                       ,HUMULUS LUPULUS
LUTECIO                                           ,LUTETIUM METALLICUM
LUTEINIZING HORMONE                               ,LH
LUTEINUM                                          ,LH
LUTEOSTIMULINE                                    ,LH
LUTETIUM MET                                      ,LUTETIUM METALLICUM
LUTETIUM PHOSPH                                   ,LUTETIUM PHOSPHORICUM
LUTETIUM SULPHURICUM                              ,LUTETIUM SULFURICUM
LUVA DE NITRILA (H)                               ,LUVA DE NITRILA DESCARTAVEL
LUVA DE VINIL (H)                                 ,LUVA DE VINIL DESCARTAVEL
LUZERNA                                           ,MEDICAGO SATIVA
LYCHNIS GITHAGO                                   ,AGROSTEMMA GITHAGO
LYCHNIS OFFICINALIS                               ,SAPONARIA OFFICINALIS
LYCOCTONUM                                        ,ACONITUM LYCOCTONUM
LYCOPENE (H)                                      ,LICOPENO
LYCOPERDON AREOLATUM                              ,BOVISTA
LYCOPERDON BOVISTA                                ,BOVISTA
LYCOPERDON CAELATUM                               ,BOVISTA
LYCOPERDON GEMMATUM                               ,BOVISTA
LYCOPERDON GLOBOSUM                               ,BOVISTA
LYCOPERSICUM CERESIFORME                          ,SOLANUM LYCOPERSICUM
LYCOPERSICUM ESCULENTUM                           ,SOLANUM LYCOPERSICUM
LYCOPODII POLEN                                   ,LYCOPODIUM CLAVATUM
LYCOPODIUM                                        ,LYCOPODIUM CLAVATUM
LYCOPODIUM INFLEXUM                               ,LYCOPODIUM CLAVATUM
LYCOPUS MACROPHYLLUS                              ,LYCOPUS VIRGINICUS
LYCOPUS PUMILUS                                   ,LYCOPUS VIRGINICUS
LYCOPUS UNIFLORUS                                 ,LYCOPUS VIRGINICUS
LYCOPUS VIRG                                      ,LYCOPUS VIRGINICUS
LYCOSA HISPANICA                                  ,TARENTULA HISPANICA
LYCOSA TARENTULA                                  ,TARENTULA HISPANICA
LYSIMACHIA                                        ,LYSIMACHIA NUMMULARIA
LYSIMACHIA REPENS                                 ,LYSIMACHIA NUMMULARIA
LYSIMACHIA SUAVEOLENS                             ,LYSIMACHIA NUMMULARIA
LYSSIN                                            ,HYDROPHOBINUM
LYSSINUM                                          ,HYDROPHOBINUM
LYTHRUM CUPHEA                                    ,CUPHEA VISCOSISSIMA
LYTHRUM MELANIUM                                  ,CUPHEA VISCOSISSIMA
LYTTA VESICATORIA                                 ,CANTHARIS VESICATORIA
MACA (H)                                          ,LEPIDIUM MEYENNI
MACA PERUANA (H)                                  ,LEPIDIUM MEYENNI
MACAW                                             ,ARA MACAO
MACELA                                            ,ACHYROCLINE SATUREOIDES
MACROTYS RACEMOSA                                 ,ACTAEA RACEMOSA
MACROVIPERA LEBETINA                              ,MACROVIPERA LEBETINUS SCHWEIZERI
MACROVIPERA SCHWEIZERI                            ,MACROVIPERA LEBETINUS SCHWEIZERI
MADEIRA EM PO                                     ,SERRAGEM DE MADEIRA
MADEIRA SERRAGEM                                  ,SERRAGEM DE MADEIRA
MADRE PEROLA                                      ,CONCHIOLINUM
MAGISTERIUM BISMUTHI                              ,BISMUTHUM SUBNITRICUM
MAGISTERIUM PLUMBI                                ,PLUMBUM CARBONICUM
MAGNESIA                                          ,MAGNESIA CARBONICA
MAGNESIA AERATA                                   ,MAGNESIA CARBONICA
MAGNESIA ALBA                                     ,MAGNESIA CARBONICA
MAGNESIA ALBA PRAECIPITATA                        ,MAGNESIA CARBONICA
MAGNESIA ARSENICOSA                               ,MAGNESIA ARSENICATA
MAGNESIA BOROCITRICA                              ,MAGNESIUM BOROCITRICUM
MAGNESIA CARB                                     ,MAGNESIA CARBONICA
MAGNESIA CHLORATA                                 ,MAGNESIA MURIATICA
MAGNESIA FLUOR                                    ,MAGNESIA FLUORICA
MAGNESIA FLUORATA                                 ,MAGNESIA FLUORICA
MAGNESIA HYDRICO-CARBONICA                        ,MAGNESIA CARBONICA
MAGNESIA HYDROCHLORICA                            ,MAGNESIA MURIATICA
MAGNESIA MET                                      ,MAGNESIUM METALLICUM
MAGNESIA METALLICA                                ,MAGNESIUM METALLICUM
MAGNESIA MUR                                      ,MAGNESIA MURIATICA
MAGNESIA NIT                                      ,MAGNESIA NITRICA
MAGNESIA OXYDATA                                  ,MAGNESIUM OXYDATUM
MAGNESIA PHOSPH                                   ,MAGNESIA PHOSPHORICA
MAGNESIA SULF                                     ,MAGNESIA SULPHURICA
MAGNESIA SULFURICA                                ,MAGNESIA SULPHURICA
MAGNESIA SULPH                                    ,MAGNESIA SULPHURICA
MAGNESIA VITRIOLATA                               ,MAGNESIA SULPHURICA
MAGNESIAE CARBONAS                                ,MAGNESIA CARBONICA
MAGNESIAE SULPHAS                                 ,MAGNESIA SULPHURICA
MAGNESII CARBONAS                                 ,MAGNESIA CARBONICA
MAGNESII CHLORIDUM                                ,MAGNESIA MURIATICA
MAGNESII PHOSPHAS                                 ,MAGNESIA PHOSPHORICA
MAGNESII SUBCARBONAS                              ,MAGNESIA CARBONICA
MAGNESII SULPHAS                                  ,MAGNESIA SULPHURICA
MAGNESIO GLICINA (H)                              ,MAGNESIO QUELADO
MAGNESIUM                                         ,MAGNESIUM METALLICUM
MAGNESIUM BROMATUM                                ,MAGNESIA BROMATA
MAGNESIUM CARB                                    ,MAGNESIA CARBONICA
MAGNESIUM CARBONICUM                              ,MAGNESIA CARBONICA
MAGNESIUM CHLORIDE                                ,MAGNESIA MURIATICA
MAGNESIUM FLUOR                                   ,MAGNESIA FLUORICA
MAGNESIUM FLUORATUM                               ,MAGNESIA FLUORICA
MAGNESIUM FLUORICUM                               ,MAGNESIA FLUORICA
MAGNESIUM IODATUM                                 ,MAGNESIA IODATA
MAGNESIUM LACTIUM                                 ,MAGNESIA LACTICA
MAGNESIUM MET                                     ,MAGNESIUM METALLICUM
MAGNESIUM MUR                                     ,MAGNESIA MURIATICA
MAGNESIUM MURIATICUM                              ,MAGNESIA MURIATICA
MAGNESIUM NIT                                     ,MAGNESIA NITRICA
MAGNESIUM NITRICUM                                ,MAGNESIA NITRICA
MAGNESIUM PHOSPH                                  ,MAGNESIA PHOSPHORICA
MAGNESIUM PHOSPHORICUM                            ,MAGNESIA PHOSPHORICA
MAGNESIUM SILICATE                                ,MAGNESIA SILICATA
MAGNESIUM SILICICUM                               ,MAGNESIA SILICATA
MAGNESIUM SILITATUM                               ,MAGNESIA SILICATA
MAGNESIUM SULF                                    ,MAGNESIA SULPHURICA
MAGNESIUM SULFURICUM                              ,MAGNESIA SULPHURICA
MAGNESIUM SULPH                                   ,MAGNESIA SULPHURICA
MAGNESIUM SULPHURICUM                             ,MAGNESIA SULPHURICA
MAGNOLIA                                          ,MAGNOLIA GRANDIFLORA
MAGNOLIA FRAGANS                                  ,MAGNOLIA GLAUCA
MAGNOLIA LONGIFOLIA                               ,MAGNOLIA GLAUCA
MAGNOLIA VIRGINIANA                               ,MAGNOLIA GLAUCA
MAHONIA AQUIF                                     ,BERBERIS AQUIFOLIUM
MAHONIA AQUIFOLIUM                                ,BERBERIS AQUIFOLIUM
MAIONESE HELLMANS                                 ,MAIONESE
MAJERICAO                                         ,OCINUM MINIMUM
MAJORANA                                          ,ORIGANUM MAJORANA
MALA AUREA                                        ,SOLANUM LYCOPERSICUM
MALA LYCOPERSICA                                  ,SOLANUM LYCOPERSICUM
MALARIA                                           ,MALARINUM
MALARIA OFFICINALIS                               ,MALARINUM
MALICUM ACIDUM                                    ,ACIDUM MALICUM
MALLEINUM                                         ,HIPPOZAENINUM
MALLEINUM NOSODE                                  ,HIPPOZAENINUM
MALTE - ALCT                                      ,MALTE
MALUS COMMUNIS                                    ,PYRUS MALUS
MALUS DOMESTICA                                   ,PYRUS MALUS
MALUS PUMILA                                      ,PYRUS MALUS
MALVA MAURITANICA                                 ,MALVA SYLVESTRIS
MALVA SILV                                        ,MALVA SYLVESTRIS
MALVA SILVESTRIS                                  ,MALVA SYLVESTRIS
MALVA SYLV                                        ,MALVA SYLVESTRIS
MAMA                                              ,GLANDULA MAMARIA
MAMA CADELA                                       ,BROSIMUM GAUDICHAUDII
MAMAO PAPAYA                                      ,CARICA PAPAYA
